,원문,번역문
0,'Bible Coloring'은 성경의 아름다운 이야기를 체험 할 수 있는 컬러링 앱입니다.,Bible Coloring' is a coloring application that allows you to experience beautiful stories in the Bible. <END>
1,씨티은행에서 일하세요?,Do you work at a City bank? <END>
2,푸리토의 베스트셀러는 해외에서 입소문만으로 4차 완판을 기록하였다.,"PURITO's bestseller, which recorded 4th rough -cuts by words of mouth from abroad. <END>"
3,11장에서는 예수님이 이번엔 나사로를 무덤에서 불러내어 죽은 자 가운데서 살리셨습니다.,In Chapter 11 Jesus called Lazarus from the tomb and raised him from the dead. <END>
4,"6.5, 7, 8 사이즈가 몇 개나 더 재입고 될지 제게 알려주시면 감사하겠습니다.","I would feel grateful to know how many stocks will be secured of size 6.5, 7, and 8. <END>"
5,F/W 겐조타이거 키즈와 그리고 이번에 주문한 키즈 중 부족한 수량에 대한 환불입니다.,"18fw Kenzo Tiger Kids, and refund for lacking quantity of Kids which was ordered this time. <END>"
6,강아지들과 내 사진을 보낼게.,And I'll send you a picture of me and my dogs. <END>
7,그 수익금 중 일부를 위안부 할머니들을 위해 쓰고 그들을 위해 여러 가지 캠페인을 벌이고 있습니다.,"Part of profits are used for the comfort women, and it is holding various campaigns for them. <END>"
8,그들은 내가 잘하는 것을 바탕으로 별명을 사용하고 있기 때문에 나는 사람들이 치타라고 불러주면 기분이 좋아.,I feel happy when people call me cheetah because they are using a nickname based on something that I am good at. <END>
9,그러므로 실제로 컴퓨터 프로그램을 만든 사람이 프로그램에 대한 저작자가 돼요.,"So, a person who made a computer program actually becomes an author of that computer program. <END>"
10,나는 친구에게 그 철학자의 책을 선물해 주겠다고 말했습니다.,I told my friends that I will give you the philosopher's book as a gift. <END>
11,나머지 사진은 내 친구들이야.,And the rest of the pictures are my friends. <END>
12,나머지 시간에는 공부해요.,I study for the rest of the time. <END>
13,네가 하는 일과 공부 잘하길 멀리서 응원할게.,I will cheer you on your work and your grade from far away. <END>
14,다른 선수들이 몬스터를 사냥할 경우 당신은 추가 경험치를 획득해요.,"If other players hunt monsters, you gain additional experience. <END>"
15,당신에게 영화관 티켓을 그냥 보여 주면 되나요?,Can I just show you my ticket to the movie theater? <END>
