원문,번역문
﻿그 여자 외모는 어때요?,What does she look like? <END>
그녀는 곱슬머리이다.,She has curly hair. <END>
그녀는 갈색 눈을 가지고 있다.,She has brown eyes. <END>
그녀는 키가 크고 예뻐요.,She is tall and pretty. <END>
그녀는 성격이 어때요?,What is she like? <END>
그녀는 매우 재미있어요.,She is very funny. <END>
그녀는 매우 활동적이에요.,She is very active. <END>
그녀는 매우 똑똑해요.,She is very smart. <END>
당신은 일요일에 무엇을 하나요?,What do you do on Sundays? <END>
나는 보통 도서관에 가.,I usually go to the library. <END>
나는 보통 자전거를 타.,I usually ride a bike. <END>
나는 보통 책을 읽어.,I usually read books. <END>
나는 보통 교회에 가.,I usually go to church. <END>
무슨 일이죠?,What's the matter? <END>
머리가 아파요.,I have a headache. <END>
목이 아파요.,I have a sore throat. <END>
감기에 걸렸어요.,I have a cold. <END>
열이 있어요.,I have a fever. <END>
너의 생각은 어때?,What do you think? <END>
수영은 재미있어.,Swimming is fun. <END>
조깅은 재미있어.,Jogging is fun. <END>
제가 좀 도와 드릴까요?,Can I help you? <END>
제가 도와 드리죠.,Let me help you. <END>
제가 도와드릴까요?,Can I give you a hand? <END>
병원에 어떻게 가나요?,How do I get to the hospital? <END>
앞으로 계속 가세요.,Go straight. <END>
두 블록 걸어 가세요.,Walk two blocks. <END>
당신의 왼쪽에 있어요.,It is on your left. <END>
모퉁이에서 왼쪽으로 도세요.,Turn left at the corner. <END>
당신의 오른쪽에 있어요.,It is on your right. <END>
너는 어제 뭐했니?,What did you do yesterday? <END>
너는 지난주에 뭐했니?,What did you do last week? <END>
나는 수영하러 갔었어.,I went swimming. <END>
나는 낚시하러 갔었어.,I went fishing. <END>
이 스웨터는 얼마예요?,How much is this sweater? <END>
이 티셔츠는 얼마예요?,How much is this Tshirt? <END>
이 재킷은 얼마예요?,How much is this jacket? <END>
10달러예요.,It is ten dollars. <END>
호주의 철자가 어떻게 되나요?,How do you spell Australia? <END>
이거 입어 봐도 될까요?,Can I try this on? <END>
이걸로 할게요.,I will take it please. <END>
너는 무엇을 하고 싶니?,What do you want to do? <END>
나는 동물원에 가고 싶어.,I want to go to the zoo. <END>
나는 박물관에 가고 싶어.,I want to go to a museum. <END>
이것은 누구의 스케치북이니?,Whose sketchbook is this? <END>
이것은 누구의 크레용이니?,Whose crayon is this? <END>
이것은 누구의 색종이니?,Whose colored paper is this? <END>
테이블 위에 바나나가 있니?,Are there bananas on the table? <END>
탁자 위에 파인애플이 있니?,Are there pineapples on the table? <END>
탁자 위에 오렌지가 있니?,Are there oranges on the table? <END>
나는 영어 시험이 걱정돼.,I am worried about the English test. <END>
나는 성적이 걱정돼.,I am worried about my grades. <END>
나는 발표가 걱정돼.,I am worried about my presentation. <END>
걱정하지 마세요.,Don't worry. <END>
포기하지 마세요.,Don't give up. <END>
넌 잘 할 거야.,You will do fine. <END>
나도 그렇게 생각해.,I think so. <END>
나는 그렇게 생각하지 않아.,I don't think so. <END>
방학 어떻게 보냈니?,How was your vacation? <END>
주말은 어떻게 보내셨어요?,How was your weekend? <END>
여행은 어땠어요?,How was your trip? <END>
즐거웠어요.,It was fun. <END>
굉장했어.,It was amazing. <END>
너무 지루했어.,It was so boring. <END>
제인과 통화할 수 있나요?,Can I speak to Jane please? <END>
전데요. ,This is she speaking. <END>
전화하신 분은 누구시죠?,"Who is calling, please? <END>"
전화 잘못 거셨어요.,You have the wrong number. <END>
잠시만 기다리세요.,Hold on please. <END>
제인 있나요?,Is Jane there? <END>
그녀는 집에 없다.,She is not at home. <END>
당신의 이름은 어떻게 쓰나요?,How do you spell your name? <END>
내일 뭐 할 거니?,What will you do tomorrow? <END>
나는 조부모님을 찾아뵐 거야.,I will visit my grandparents. <END>
나는 소풍을 갈 거야.,I will go on a picnic. <END>
나는 영화 보러 갈 거야.,I will go to a movie. <END>
나는 테니스를 칠 거야.,I will play tennis. <END>
너는 숙제를 해야 해.,You have to do your homework. <END>
너는 병원에 가봐야 해.,You have to see a doctor. <END>
너는 방 청소를 해야 해.,You have to clean your room. <END>
주문하시겠어요?,May I take your order? <END>
주문하시겠어요?,Are you ready to order? <END>
"네, 아이스크림 하나 주세요.","Yes, I would like an ice cream. <END>"
